果樹生産出荷統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
品目別結果樹面積、収穫量及び出荷量累年統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ぶどう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山梨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,ぶどう,,,デラウエア,,,キャンベルアーリー,,,ネオマスカット,,,マスカットベーリーＡ,,,甲州,,,巨峰,,,温室ぶどう,,,甲斐路,,,ピオーネ,,,その他,,
,結果樹面積,収穫量,出荷量,結果樹面積,収穫量,出荷量,結果樹面積,収穫量,出荷量,結果樹面積,収穫量,出荷量,結果樹面積,収穫量,出荷量,結果樹面積,収穫量,出荷量,結果樹面積,収穫量,出荷量,結果樹面積,収穫量,出荷量,結果樹面積,収穫量,出荷量,結果樹面積,収穫量,出荷量,結果樹面積,収穫量,出荷量
,ha,t,t,ha,t,t,ha,t,t,ha,t,t,ha,t,t,ha,t,t,ha,t,t,ha,t,t,ha,t,t,ha,t,t,ha,t,t
昭.48(1973),4370,69900,66900,2360,32300,31200,-,-,-,873,15500,14800,230,5020,4740,661,13700,12900,89,1530,1510,-,-,-,…,…,…,…,…,…,…,…,…
昭.49(1974),4480,72800,70000,2370,31800,30620,-,-,-,904,16400,15840,259,5540,5350,674,15500,14700,111,1820,1800,-,-,-,…,…,…,…,…,…,…,…,…
昭.50(1975),4610,70400,68130,2410,31300,30550,-,-,-,893,14600,14020,278,5580,5414,692,14600,13925,145,2250,2210,-,-,-,…,…,…,…,…,…,…,…,…
昭.51(1976),4770,79700,76870,2480,33300,32261,-,-,-,871,18200,17566,303,6690,6490,702,15600,14800,187,2960,2886,-,-,-,…,…,…,…,…,…,…,…,…
昭.52(1977),5010,83200,79228,2610,34900,33093,-,-,-,843,17900,17093,334,7410,7100,701,15100,14409,248,4160,3979,-,-,-,…,…,…,…,…,…,…,…,…
昭.53(1978),5060,86200,82048,2690,39600,37746,-,-,-,787,16300,15428,335,7720,7436,658,14300,13513,288,4210,4020,-,-,-,…,…,…,…,…,…,…,…,…
昭.54(1979),5160,88800,84599,2730,41700,39784,-,-,-,764,15700,14972,363,8360,7987,633,12900,12142,345,5490,5245,-,-,-,…,…,…,…,…,…,…,…,…
昭.55(1980),5250,84300,80076,2770,37500,35627,-,-,-,772,14600,13926,366,8030,7665,629,13500,12701,367,5780,5518,-,-,-,…,…,…,…,…,…,…,…,…
昭.56(1981),5360,89600,85191,2800,43100,41009,-,-,-,763,14600,13862,365,7830,7454,629,12500,11820,427,6360,6069,-,-,-,…,…,…,…,…,…,…,…,…
昭.57(1982),5570,86100,81686,2870,37000,35112,-,-,-,772,13700,12974,363,7500,7123,637,13700,12974,523,8350,7950,-,-,-,…,…,…,…,…,…,…,…,…
昭.58(1983),5650,89400,84859,2900,40100,38131,-,-,-,759,13700,12990,358,7600,7193,645,13200,12451,574,8460,8055,-,-,-,…,…,…,…,…,…,422,6300,6039
昭.59(1984),5660,78400,74312,2860,34400,32638,-,-,-,727,12500,11806,340,4880,4586,650,12300,11574,640,8740,8290,-,-,-,…,…,…,…,…,…,440,5660,5418
昭.60(1985),5520,82700,78396,2740,36700,34858,-,-,-,665,12100,11404,299,5770,5462,663,13200,12448,691,8620,8176,-,-,-,…,…,…,…,…,…,455,6320,6048
昭.61(1986),5480,79900,75796,2700,36100,34210,-,-,-,623,8700,8217,281,4580,4349,675,13300,12590,719,10600,10099,-,-,-,…,…,…,…,…,…,481,6610,6331
昭.62(1987),5450,81400,77260,2610,33100,31401,-,-,-,589,9820,9301,270,5170,4922,708,14200,13408,764,11600,11020,-,-,-,…,…,…,…,…,…,513,7530,7208
昭.63(1988),5450,80300,76223,2480,31600,29941,-,-,-,556,8820,8330,272,5150,4904,753,14900,14108,830,12200,11627,-,-,-,…,…,…,…,…,…,557,7650,7313
平.元(1989),5260,66200,62668,2230,27100,25613,-,-,-,468,5220,4903,263,4010,3809,771,12700,11987,931,10000,9514,-,-,-,…,…,…,…,…,…,601,7170,6842
平.2(1990),5190,68100,64500,2100,21700,20500,-,-,-,418,6100,5740,265,4650,4430,797,14400,13700,972,12600,11900,-,-,-,…,…,…,…,…,…,638,8640,8260
平.3(1991),5090,72500,68800,1900,22400,21200,-,-,-,367,5580,5220,260,5060,4830,808,15700,15000,1020,13800,13100,-,-,-,…,…,…,202,2670,2520,545,7260,6950
平.4(1992),5060,70400,66700,1790,22500,21300,-,-,-,302,4590,4270,241,4500,4260,828,12900,12200,1070,13800,13100,-,-,-,…,…,…,218,2930,2770,607,9150,8800
平.5(1993),5040,68600,64900,1760,20500,19400,-,-,-,279,3990,3710,228,4080,3870,807,13700,12800,1090,14600,13900,-,-,-,…,…,…,238,3260,3090,640,8490,8100
平.6(1994),5010,64200,60400,1720,18600,17300,-,-,-,252,3620,3370,214,3700,3510,750,11600,10900,1140,13900,13100,-,-,-,…,…,…,274,3600,3400,657,9150,8740
平.7(1995),4930,65600,61700,1660,19000,17700,-,-,-,232,3430,3200,198,3650,3450,704,11500,10800,1180,14700,13900,-,-,-,…,…,…,292,3750,3550,670,9610,9160
平.8(1996),4800,65500,61500,1540,17500,16200,-,-,-,222,3320,3100,185,3360,3170,650,10700,10100,1210,16300,15400,-,-,-,…,…,…,307,4120,3910,678,10100,9670
平.9(1997),4630,65500,61500,1400,16800,15500,-,-,-,208,3350,3130,173,3310,3130,602,10300,9670,1230,16700,15700,-,-,-,…,…,…,339,4650,4420,680,10400,9970
平.10(1998),4460,61100,57300,1230,14100,13000,-,-,-,186,2840,2660,167,3230,3050,565,9390,8820,1250,16700,15800,-,-,-,…,…,…,366,5050,4770,698,9770,9320
平.11(1999),4300,62400,58700,1090,13200,12200,-,-,-,168,2730,2540,168,3460,3270,552,10200,9590,1250,16900,15900,-,-,-,…,…,…,379,5280,4980,693,10700,10200
平.12(2000),4230,58500,54800,1000,11900,10900,-,-,-,158,2360,2190,169,3240,3050,542,9210,8670,1260,16000,15100,-,-,-,…,…,…,394,5330,5040,703,10400,9930
平.13(2001),4210,52400,48700,962,10200,9190,-,-,-,148,2030,1860,168,3100,2900,541,8510,7860,1300,14900,14000,-,-,-,…,…,…,397,5500,5240,695,8140,7620
平.14(2002),4190,59200,55300,938,11300,10200,-,-,-,…,…,…,159,3040,2830,528,8590,7760,1320,17700,16900,…,…,…,346,5550,5190,412,5880,5590,486,7110,6780
平.15(2003),4180,56100,52400,918,10700,9680,-,-,-,…,…,…,152,2760,2570,505,7700,6940,1350,17600,16800,…,…,…,336,5220,4860,427,5890,5600,491,6250,5950
平.16(2004),4160,53400,49800,902,9880,8910,-,-,-,…,…,…,141,2580,2410,480,7250,6540,1370,16300,15400,…,…,…,329,4940,4610,455,6090,5800,483,6420,6070
平.17(2005),4140,55900,52100,889,10400,9330,-,-,-,…,…,…,137,2650,2460,456,6970,6280,1380,17400,16500,…,…,…,319,5300,4950,472,6210,5890,485,7030,6640
平.18(2006),4150,53500,49800,880,9790,8810,-,-,-,…,…,…,133,2490,2310,…,…,…,1390,16600,15800,…,…,…,…,…,…,487,6360,6030,1260,18300,16900
平.19(2007),4080,51400,47500,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平.20(2008),4070,48400,44800,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平.21(2009),4050,50600,46900,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平.22(2010),4060,45100,41800,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平.23(2011),4030,42300,39200,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平.24(2012),3990,48700,45300,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平.25(2013),3980,48200,44800,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平.26(2014),3930,45200,42000,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平.27(2015),3910,41400,38500,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平.28(2016),3860,42500,39600,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平.29(2017),3820,43200,40400,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平.30(2018),3800,41800,39400,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
令.元(2019),3780,36900,35200,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
令.2(2020),3790,35000,33400,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
令.3(2021),3790,40600,38800,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
